,name,price,status,link
89,"Apple MacBook Pro 16 MK1H3 Silver (M1 Max 10-Core, GPU 32-Core, 32GB, 1TB)",419990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-mk1h3-silver-m1-max-10-core-gpu-24-core-32gb-1tb
90,"Apple MacBook Pro 14 Z15J000CX Silver (M1 Pro 8-Core, GPU 14-Core, 32GB, 1TB)",429990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15j000cx-silver-m1-pro-8-core-gpu-14-core-32gb-1tb
91,"Apple MacBook Pro 14 Z15K0007F Silver (M1 Max 10-Core, GPU 24-Core, 32GB, 1TB)",459990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15k0007f-silver-m1-max-10-core-gpu-24-core-32gb-1tb
92,"Apple MacBook Pro 14 Z15H0007B Space Gray (M1 Max 10-Core, GPU 24-Core, 32GB, 1TB)",459990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15h0007b-space-gray-m1-max-10-core-gpu-24-core-32gb-1tb
93,"Apple MacBook Pro 16 Z14Y0008C Silver (M1 Pro 10-Core, GPU 16-Core, 32GB, 512GB)",469990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14y0008c-silver-m1-pro-10-core-gpu-16-core-32gb-512gb
94,"Apple MacBook Pro 16 Z14W00079 Space Gray (M1 Pro 10-Core, GPU 16-Core, 32GB, 1TB)",489990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14w00079-space-gray-m1-pro-10-core-gpu-16-core-32gb-1tb
95,"Apple MacBook Pro 16 Z14V0008V Space Gray (M1 Max 10-Core, GPU 24-Core, 32GB, 4TB)",499990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14v0008v-space-gray-m1-max-10-core-gpu-24-core-32gb-4tb
96,"Apple MacBook Pro 14 Z15H0007D Space Gray (M1 Max 10-Core, GPU 24-Core, 64GB, 1TB)",509990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15h0007d-space-gray-m1-max-10-core-gpu-24-core-64gb-1tb
97,"Apple MacBook Pro 14 Z15G000DQ Space Gray (M1 Max 10-Core, GPU 32-core, 64 GB, 1TB)",509990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15g000dq-space-gray-m1-max-10-core-gpu-32-core-64-gb-1tb
98,"Apple MacBook Pro 14 Z15J000DR Silver (M1 Max 10-Core, GPU 32-core, 64 GB, 1TB)",509990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15j000dr-silver-m1-max-10-core-gpu-32-core-64-gb-1tb
99,"Apple MacBook Pro 14 Z15G000DR Space Gray (M1 Max 10-Core, GPU 32-core, 32 GB, 2TB)",519990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15g000dr-space-gray-m1-max-10-core-gpu-32-core-32-gb-2tb
100,"Apple MacBook Pro 14 Z15J000DG Silver (M1 Max 10-Core, GPU 32-core, 32 GB, 2TB)",519990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15j000dg-silver-m1-max-10-core-gpu-32-core-32-gb-2tb
101,"Apple MacBook Pro 14 Z15G000DT Space Gray (M1 Max 10-Core, GPU 32-core, 32 GB, 4TB)",549990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15g000dt-space-gray-m1-max-10-core-gpu-32-core-32-gb-4tb
102,"Apple MacBook Pro 14 Z15J000DH Silver (M1 Max 10-Core, GPU 32-core, 32 GB, 4TB)",549990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15j000dh-silver-m1-max-10-core-gpu-32-core-32-gb-4tb
103,"Apple MacBook Pro 14 Z15G000DS Space Gray (M1 Max 10-Core, GPU 32-core, 64 GB, 2TB)",559990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15g000ds-space-gray-m1-max-10-core-gpu-32-core-64-gb-2tb
104,"Apple MacBook Pro 14 Z15H0007J Space Gray (M1 Max 10-Core, GPU 24-Core, 64GB, 2TB)",564990,In stock,https://biggeek.ru/products/apple-macbook-pro-14-z15h0007j-space-gray-m1-max-10-core-gpu-24-core-64gb-2tb
105,"Apple MacBook Pro 16 Z14V0008S Space Gray (M1 Max 10-Core, GPU 32-core, 32 GB, 2TB)",569990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14v0008s-space-gray-m1-max-10-core-gpu-32-core-32-gb-2tb
106,"Apple MacBook Pro 16 Z14Y0008M Silver (M1 Max 10-Core, GPU 24-core, 32 GB, 4TB)",589990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14y0008m-silver-m1-max-10-core-gpu-24-core-32-gb-4tb
107,"Apple MacBook Pro 16 Z14V0008N Space Gray (M1 Max 10-Core, GPU 32-core, 64 GB, 1TB)",609990,In stock,https://biggeek.ru/products/apple-macbook-pro-16-z14v0008n-space-gray-m1-max-10-core-gpu-32-core-64-gb-1tb
