,id,region,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
17415,7045611108,bellingham,6000,2000.0,chevrolet,excellent,8 cylinders,gas,163000.0,clean,automatic,4wd,full-size,SUV,brown,1
17416,7045604621,bellingham,3999,2003.0,ford,,6 cylinders,gas,173000.0,clean,automatic,,,SUV,green,1
17417,7045604145,bellingham,5888,2004.0,volvo,,,gas,109000.0,clean,automatic,,,SUV,blue,1
17418,7045603696,bellingham,5999,2012.0,chevrolet,,,gas,122000.0,clean,automatic,,,SUV,,1
17419,7045603189,bellingham,13000,2004.0,chevrolet,like new,6 cylinders,gas,27868.0,clean,automatic,fwd,full-size,coupe,black,1
17420,7045603187,bellingham,5488,2004.0,honda,,6 cylinders,gas,180000.0,clean,automatic,,,SUV,silver,1
17421,7045602684,bellingham,5999,2009.0,nissan,,,gas,144000.0,clean,other,,,wagon,silver,1
17422,7045602192,bellingham,6599,2004.0,bmw,,,gas,112000.0,clean,automatic,,,sedan,,1
17423,7045601719,bellingham,3999,2003.0,gmc,,,gas,169000.0,clean,automatic,,,SUV,,1
17424,7045590430,bellingham,4500,2007.0,volkswagen,excellent,6 cylinders,gas,172000.0,clean,automatic,4wd,mid-size,SUV,green,1
17425,7045578445,bellingham,42749,2016.0,ram,,,diesel,39682.0,clean,automatic,4wd,,truck,white,1
17426,7045574442,bellingham,26999,2013.0,ram,,,gas,74367.0,clean,automatic,4wd,,truck,black,1
17427,7045573501,bellingham,8500,2012.0,ford,,,gas,87774.0,clean,automatic,fwd,,sedan,white,1
17428,7045570176,bellingham,27999,2015.0,ram,,,gas,86395.0,clean,automatic,4wd,,truck,blue,1
17429,7045561804,bellingham,1900,1996.0,ford,excellent,4 cylinders,gas,,clean,automatic,fwd,mid-size,sedan,white,1
17430,7045561076,bellingham,21499,2012.0,chevrolet,,,gas,75447.0,clean,automatic,4wd,,truck,black,1
17431,7045559599,bellingham,3000,2001.0,lexus,excellent,6 cylinders,gas,147000.0,clean,automatic,fwd,compact,sedan,silver,1
17432,7045559225,bellingham,2500,2007.0,ford,good,6 cylinders,gas,170000.0,clean,manual,,compact,hatchback,silver,1
17433,7045556192,bellingham,11749,2011.0,ford,,,gas,86882.0,clean,manual,rwd,,truck,grey,1
17434,7045553983,bellingham,15999,2017.0,jeep,,4 cylinders,gas,15008.0,clean,automatic,4wd,,SUV,,1
17435,7045553863,bellingham,19500,2014.0,ford,,8 cylinders,gas,106012.0,clean,automatic,4wd,,truck,,1
17436,7045551125,bellingham,28499,2017.0,ram,,,gas,52350.0,clean,automatic,4wd,,truck,white,1
17437,7045549978,bellingham,19000,2017.0,hyundai,,,gas,29911.0,clean,automatic,fwd,,wagon,,1
17438,7045545841,bellingham,10999,2014.0,toyota,,,hybrid,121837.0,clean,automatic,fwd,,hatchback,black,1
17439,7045540508,bellingham,16499,2016.0,hyundai,,,gas,36346.0,clean,automatic,4wd,,SUV,white,1
17440,7045534699,bellingham,13999,2010.0,lexus,,,gas,113261.0,clean,automatic,4wd,,SUV,grey,1
17441,7045528749,bellingham,20999,2013.0,ram,,,gas,83529.0,clean,automatic,4wd,,truck,red,1
17442,7045525030,bellingham,28275,2018.0,jeep,,,gas,23713.0,clean,automatic,,,,,1
17443,7045522524,bellingham,24999,2015.0,ram,,,gas,84773.0,clean,automatic,4wd,,truck,blue,1
17444,7045521630,bellingham,11000,2018.0,nissan,,,gas,41823.0,clean,,fwd,,sedan,,1
17445,7045516158,bellingham,17999,2013.0,ford,,,gas,90335.0,clean,automatic,4wd,,truck,silver,1
17446,7045515518,bellingham,10857,2017.0,kia,good,4 cylinders,gas,9877.0,clean,manual,fwd,,sedan,,1
17447,7045515350,bellingham,11967,2012.0,honda,good,4 cylinders,gas,19514.0,clean,manual,fwd,,hatchback,,1
