,id,price,year,odometer,lat,long
121,7032996382,16999,2016,59000,38,-121
122,7032996291,21999,2015,56000,38,-121
123,7032996129,14999,2005,43000,38,-121
124,7032996004,25999,2014,49000,38,-121
125,7032995875,28999,2017,5000,38,-121
126,7032929698,28950,2019,2890,40,-111
127,7032906588,22995,2016,54252,33,-111
128,7032869849,10550,2011,66328,40,-111
129,7032859017,49995,2011,8512,33,-111
130,7032825687,30995,2019,14649,45,-113
131,7032809893,34995,2011,16161,33,-111
132,7032759586,12000,2005,159626,43,-116
133,7032759329,58995,2017,32537,33,-111
134,7032716171,0,2008,93899,25,-80
135,7032693370,38995,2016,38086,44,-106
136,7032693342,46995,2018,20283,44,-106
137,7032693345,14995,2010,28656,44,-106
138,7032693348,56995,2018,34388,44,-106
139,7032693368,10995,2011,135529,44,-106
140,7032677755,16975,2013,81226,39,-104
141,7032647533,0,2015,29475,39,-104
142,7032623341,13999,2007,48130,39,-104
143,7049133161,21500,2015,126520,38,-112
144,7050068262,3700,2005,93899,37,-113
145,7050019663,34495,2012,108437,37,-113
146,7050005015,17500,2018,33565,37,-113
147,7049991795,20495,2016,33293,37,-113
148,7049991697,22795,2015,216694,37,-113
149,7049926493,6795,2010,123352,37,-113
150,7049899152,3150,2003,93899,37,-113
151,7049882169,5500,2006,93899,36,-115
152,7049847507,8845,2010,61700,37,-113
153,7049847572,8490,2015,51712,37,-113
154,7049839401,6445,2012,99587,37,-113
155,7049839461,7435,2004,201312,37,-113
156,7049834588,25495,2012,314464,37,-113
157,7048934417,5000,2003,209000,37,-113
158,7049796561,10499,2008,89869,37,-113
159,7049794023,7295,1981,88728,36,-115
160,7049790822,23795,2009,134031,37,-113
161,7049769173,9995,2008,200000,36,-115
162,7049736098,26795,2015,100616,37,-113
163,7049628210,29000,2014,32000,37,-113
164,7049480383,7999,2006,196000,37,-113
165,7049465428,27701,2017,39106,40,-111
166,7049458404,21000,2013,119000,37,-113
167,7049395159,6500,1999,75400,37,-113
168,7049378665,550,1992,93899,37,-113
169,7049300579,19000,2010,93899,37,-113
170,7049249875,4500,2004,74000,37,-113
171,7048798803,7500,1950,1000,37,-113
172,7048784113,13500,2004,133287,37,-113
173,7048747524,6000,1955,0,37,-113
174,7048731596,1600,2004,98000,37,-113
175,7048720060,8995,2013,130423,37,-113
176,7048719021,2400,2002,194956,37,-113
177,7048714747,7295,2007,77580,37,-113
178,7048701955,3495,2006,162033,37,-113
179,7048701604,3500,2009,191538,37,-113
180,7048698835,8400,2008,176353,37,-113
181,7048696439,3600,2006,133000,37,-113
182,7048693770,4200,2006,129046,37,-113
183,7048687103,39900,2015,93899,36,-115
184,7048665144,18795,2015,30680,37,-113
185,7048627253,13500,1977,93899,37,-113
186,7048574960,17595,2010,135536,37,-113
187,7048553084,3200,2000,93899,37,-113
188,7048548019,4200,2007,93899,37,-113
189,7048540554,3200,2008,93899,37,-113
190,7048519392,56995,2017,608498,34,-117
191,7048497716,22500,2016,46850,37,-113
192,7048496154,8300,2013,116500,37,-113
193,7048268005,1700,1999,135000,37,-113
194,7047671662,19495,2014,78954,37,-113
195,7047671585,18295,2016,50824,37,-113
196,7047651585,22995,2018,93899,37,-113
197,7047631500,12495,2015,75915,37,-113
198,7048186438,36900,2013,66800,37,-113
199,7048132108,16495,1951,72627,37,-113
200,7048016623,21500,2008,224878,37,-113
201,7047935525,16900,2017,51300,37,-113
202,7047895001,27400,2017,12340,40,-111
203,7047874596,12000,2012,151000,37,-113
204,7047847830,1500,1998,187000,37,-113
205,7047707148,1800,2004,93899,37,-113
206,7047671719,10795,2014,79187,37,-113
207,7047631181,16695,2008,163658,37,-113
208,7047624759,9000,2007,165000,37,-113
209,7047592053,11000,2001,78000,40,-109
210,7047422037,9999,2012,69502,37,-113
211,7047421920,6495,2008,130535,37,-113
212,7047421752,9995,2013,85111,37,-113
213,7047421551,12795,2012,140776,37,-113
214,7047421406,9795,2014,106696,37,-113
215,7047421363,11495,2013,26473,37,-113
216,7047421293,17495,2012,82882,37,-113
217,7047421215,22495,2016,54489,37,-113
218,7047421155,9995,2012,101172,37,-113
219,7047421099,4250,2004,203972,37,-113
220,7047421000,16995,2015,69699,37,-113
221,7047420796,7995,2004,132920,37,-113
222,7047420689,29795,2016,57645,37,-113
223,7047420632,22795,2015,54322,37,-113
224,7047420562,20495,2018,17082,37,-113
225,7047420503,27795,2015,63380,37,-113
226,7047420416,6495,2013,111060,37,-113
227,7047420367,12795,2014,66747,37,-113
228,7047420303,10795,2012,96293,37,-113
229,7047420236,36495,2015,88244,37,-113
230,7047420152,24595,2008,139400,37,-113
231,7047420092,15495,2015,27730,37,-113
232,7047420048,17495,2015,62751,37,-113
233,7047419995,14495,2012,103117,37,-113
234,7047419930,18795,2014,85961,37,-113
235,7047419868,9995,2012,106169,37,-113
236,7047419770,8995,2012,166594,37,-113
237,7047419694,12145,2017,30853,37,-113
238,7047419622,7995,2009,134561,37,-113
239,7047419557,36455,2019,13624,37,-113
240,7047419466,32475,2015,61774,37,-113
241,7047419406,36795,2019,12621,37,-113
242,7047419344,10595,2016,59645,37,-113
243,7047419289,10295,2013,154852,37,-113
244,7047419240,23995,2015,64438,37,-113
245,7047419172,13795,2017,64377,37,-113
246,7047419121,20945,2017,31034,37,-113
247,7047419043,22795,2016,27737,37,-113
248,7047264905,12000,2016,87000,37,-112
249,7047239908,2895,2003,93899,37,-113
